2.93	0	-2.87357	-0.305369	0	-17	-102.48	13.0204	-15.5097	167.601	-0.413227	0.383365	-0.825928	0.879327	0.403442	-0.252752	0.236336	-0.830717	-0.503723	
3.03	0	-3.03789	-0.328638	0	-17	-102.374	11.5828	-11.5785	168.55	-0.40376	0.34192	-0.848445	0.877031	0.40863	-0.252643	0.260343	-0.846191	-0.464836	
3.13	0	3.08012	-0.353918	0	-17	-102.264	11.0611	-7.12315	169.203	-0.403571	0.288942	-0.867968	0.865991	0.42671	-0.260572	0.295172	-0.856927	-0.422433	
3.23	0	2.91494	-0.377761	0	-17	-102.148	10.947	-3.00637	169.509	-0.406672	0.241604	-0.881022	0.857811	0.432708	-0.277209	0.31432	-0.868397	-0.383118	
3.33	0	2.75119	-0.399881	0	-17	-102.028	11.9738	1.36022	169.695	-0.418987	0.187514	-0.888373	0.84183	0.44682	-0.302638	0.340187	-0.874614	-0.344962	
3.43	0	2.58802	-0.422288	0	-17	-101.904	13.9771	6.22865	169.528	-0.445859	0.121072	-0.88675	0.808745	0.47911	-0.341077	0.383608	-0.86928	-0.311421	
3.54	0	2.42744	-0.447855	0	-17	-101.77	16.3618	10.3037	168.987	-0.478538	0.06052	-0.875816	0.768257	0.511777	-0.384363	0.425132	-0.856811	-0.291322	
3.64	0	2.26714	-0.475146	0	-17	-101.64	19.4015	13.9923	168.33	-0.512294	0.0093987	-0.85857	0.72724	0.536388	-0.428079	0.4566	-0.84381	-0.281585	
3.74	0	2.11	-0.502436	0	-17	-101.515	22.6349	16.9798	167.368	-0.548259	-0.0394491	-0.835179	0.683939	0.553562	-0.475108	0.481274	-0.831766	-0.276535	
3.84	0	1.95718	-0.528291	0	-17	-101.369	26.0848	19.3994	166.418	-0.584593	-0.0763025	-0.807541	0.637218	0.572851	-0.515336	0.502061	-0.815947	-0.286185	
3.94	0	1.80808	-0.555294	0	-17	-101.22	29.6671	20.593	165.53	-0.618181	-0.100553	-0.779479	0.598244	0.582909	-0.549703	0.509812	-0.806069	-0.300143	
4.04	0	1.66071	-0.584309	0	-17	-101.077	32.4953	20.8153	164.555	-0.648191	-0.107506	-0.753706	0.575672	0.578613	-0.577698	0.498358	-0.808342	-0.313198	
4.14	0	1.51909	-0.613036	0	-17	-100.929	35.8065	20.9345	163.683	-0.674418	-0.103056	-0.731065	0.561745	0.570764	-0.598733	0.479062	-0.814505	-0.326975	
4.24	0	1.38235	-0.64205	0	-17	-100.78	38.4428	20.4144	162.811	-0.700848	-0.0947065	-0.706831	0.546522	0.565548	-0.6175	0.458368	-0.819178	-0.344489	
4.34	0	1.24905	-0.671352	0	-17	-100.626	41.351	19.3946	162.193	-0.722321	-0.083531	-0.686367	0.535767	0.560043	-0.631751	0.437344	-0.824053	-0.359756	
4.44	0	1.12064	-0.701515	0	-17	-100.461	43.8264	18.1958	161.491	-0.742076	-0.0664615	-0.666938	0.528953	0.553002	-0.643532	0.411794	-0.830409	-0.375126	
4.54	0	0.998553	-0.73254	0	-17	-100.3	45.7701	16.8303	160.922	-0.759155	-0.0453064	-0.649187	0.526434	0.54386	-0.653391	0.382723	-0.837804	-0.389071	
4.66	0	0.86095	-0.770747	0	-17	-100.102	48.0526	14.9648	160.312	-0.775462	-0.0167031	-0.630932	0.527699	0.531496	-0.662406	0.34656	-0.846699	-0.403319	
4.76	0	0.750926	-0.803783	0	-17	-99.932	49.7277	13.0973	159.766	-0.785286	0.00985051	-0.618923	0.533166	0.518672	-0.668232	0.31451	-0.854715	-0.41258	
4.86	0	0.648083	-0.835958	0	-17	-99.7574	51.0937	11.1827	159.562	-0.792921	0.0384805	-0.607956	0.540127	0.506075	-0.672266	0.281974	-0.861518	-0.421989	
4.96	0	0.551847	-0.869856	0	-17	-99.5796	52.1565	9.06704	159.477	-0.797302	0.0676165	-0.599695	0.550011	0.490197	-0.675926	0.248393	-0.868864	-0.427987	
5.06	0	0.462793	-0.904616	0	-17	-99.3971	53.0037	7.05398	159.276	-0.800694	0.0973105	-0.590907	0.559283	0.474427	-0.679714	0.214325	-0.874771	-0.434285	
5.16	0	0.381496	-0.939375	0	-17	-99.2066	53.5219	5.13727	159.068	-0.803481	0.125307	-0.58191	0.566506	0.461485	-0.6826	0.183058	-0.878119	-0.441698	
5.26	0	0.307667	-0.974422	0	-17	-99.0351	54.2001	3.3866	159.136	-0.801692	0.154706	-0.577233	0.578255	0.444669	-0.683955	0.150863	-0.882164	-0.445929	
5.36	0	0.241307	-1.01033	0	-17	-98.8367	54.6739	1.52211	159.208	-0.797853	0.183667	-0.574011	0.591092	0.425396	-0.685259	0.11834	-0.886031	-0.447838	
5.46	0	0.183279	-1.04681	0	-17	-98.6478	54.817	-0.0257383	159.246	-0.793652	0.210811	-0.570561	0.601975	0.406948	-0.686882	0.0874064	-0.888695	-0.449928	
5.56	0	0.132719	-1.08387	0	-17	-98.4462	54.97	-1.60635	159.268	-0.788392	0.234431	-0.568645	0.612357	0.387576	-0.688993	0.0588396	-0.891479	-0.449089	
5.66	0	0.090203	-1.12122	0	-17	-98.2572	54.9033	-2.94919	159.386	-0.782994	0.258176	-0.565762	0.621265	0.368011	-0.69167	0.029663	-0.893186	-0.448502	
5.76	0	0.0563051	-1.15971	0	-17	-98.0461	54.6198	-4.19376	159.593	-0.777138	0.278947	-0.563981	0.629177	0.347478	-0.69519	0.00211241	-0.895193	-0.445441	
