3.03	0	-3.03789	-0.328638	0	-17	-102.374	10.3315	-8.76297	166.388	0.901298	0.0650677	-0.428285	0.0489753	0.967012	0.24998	0.430422	-0.246282	0.868379
3.13	0	3.08012	-0.353918	0	-17	-102.264	10.5037	-3.11303	166.819	0.894417	0.0360713	-0.445776	0.0386169	0.986791	0.157331	0.445563	-0.157934	0.88121
3.23	0	2.91494	-0.377761	0	-17	-102.148	11.5307	2.88598	166.864	0.883237	0.00120252	-0.468925	0.025455	0.998399	0.0505056	0.468235	-0.0565449	0.881793
3.33	0	2.75119	-0.399881	0	-17	-102.028	13.2565	8.59296	166.503	0.870048	-0.0350774	-0.491718	0.0100836	0.998523	-0.0533891	0.492864	0.0414929	0.869116
3.43	0	2.58802	-0.422288	0	-17	-101.904	15.5382	13.4965	165.839	0.855556	-0.0675166	-0.513289	-0.00524287	0.990279	-0.138997	0.517684	0.121611	0.846885
3.54	0	2.42744	-0.447855	0	-17	-101.77	18.2381	17.3278	165.022	0.839221	-0.0933977	-0.53571	-0.0185553	0.979648	-0.199864	0.543474	0.17767	0.820408
3.64	0	2.26714	-0.475146	0	-17	-101.64	21.7427	19.9873	163.942	0.805133	-0.116501	-0.58154	-0.0276403	0.972082	-0.233008	0.59245	0.203676	0.779435
3.74	0	2.11	-0.502436	0	-17	-101.515	24.9831	21.9406	163.009	0.783236	-0.131865	-0.60758	-0.0364913	0.965814	-0.256655	0.620653	0.223193	0.751648
3.84	0	1.95718	-0.528291	0	-17	-101.369	28.2978	23.1002	162.118	0.75962	-0.142326	-0.634603	-0.0428007	0.962706	-0.267144	0.648958	0.230089	0.725198
3.94	0	1.80808	-0.555294	0	-17	-101.22	31.6034	23.5504	161.276	0.734859	-0.148084	-0.661856	-0.0460124	0.962739	-0.266491	0.676657	0.226287	0.700664
4.04	0	1.66071	-0.584309	0	-17	-101.077	34.8642	23.372	160.477	0.709356	-0.149379	-0.68884	-0.0458675	0.965431	-0.256593	0.703356	0.213611	0.677982
4.14	0	1.51909	-0.613036	0	-17	-100.929	37.9352	22.6723	159.76	0.684502	-0.14663	-0.714113	-0.0425747	0.969851	-0.239951	0.727767	0.19465	0.657622
4.24	0	1.38235	-0.64205	0	-17	-100.78	40.7897	21.5365	159.121	0.660831	-0.140214	-0.737321	-0.0362221	0.975291	-0.217933	0.74966	0.170724	0.639424
4.34	0	1.24905	-0.671352	0	-17	-100.626	43.4262	20.0297	158.556	0.638666	-0.130486	-0.75834	-0.0270068	0.981109	-0.191562	0.76901	0.142825	0.623077
4.44	0	1.12064	-0.701515	0	-17	-100.461	45.7984	18.2311	158.077	0.6187	-0.117916	-0.776727	-0.0151857	0.986692	-0.161887	0.78548	0.111955	0.608676
4.54	0	0.998553	-0.73254	0	-17	-100.3	47.8668	16.2263	157.677	0.601545	-0.103155	-0.792151	-0.00126794	0.991503	-0.130078	0.798838	0.0792522	0.596303
4.66	0	0.86095	-0.770747	0	-17	-100.102	49.9547	13.6556	157.303	0.584901	-0.0834939	-0.806796	0.0174026	0.995751	-0.0904321	0.810918	0.0388535	0.583868
4.76	0	0.750926	-0.803783	0	-17	-99.932	51.4175	11.3878	157.064	0.574063	-0.0657335	-0.816169	0.0343782	0.997828	-0.0561838	0.818089	0.00419456	0.575076
4.86	0	0.648083	-0.835958	0	-17	-99.7574	52.6138	9.12508	156.891	0.566059	-0.0478489	-0.822975	0.0514369	0.998419	-0.0226701	0.822759	-0.0294987	0.567625
4.96	0	0.551847	-0.869856	0	-17	-99.5796	53.8441	6.55463	156.492	0.544961	-0.0260484	-0.838057	0.0788959	0.996676	0.0203249	0.834741	-0.0771955	0.545205
5.06	0	0.462793	-0.904616	0	-17	-99.3971	54.5604	4.36305	156.438	0.542831	-0.00808772	-0.839803	0.0966012	0.993918	0.0528691	0.834268	-0.109825	0.540311
5.16	0	0.381496	-0.939375	0	-17	-99.2066	54.7956	2.3703	156.614	0.54713	0.00856715	-0.837004	0.114679	0.989751	0.0850935	0.829155	-0.142544	0.54054
5.26	0	0.307667	-0.974422	0	-17	-99.0351	55.1541	0.432143	156.641	0.549135	0.0240367	-0.835388	0.13041	0.984877	0.114061	0.825497	-0.171578	0.537696
5.36	0	0.241307	-1.01033	0	-17	-98.8367	55.3956	-1.36524	156.723	0.552544	0.0381573	-0.83261	0.145168	0.979277	0.141217	0.820744	-0.198897	0.535554
5.46	0	0.183279	-1.04681	0	-17	-98.6478	55.5248	-2.98735	156.828	0.557145	0.0506463	-0.828869	0.158667	0.973257	0.166121	0.815116	-0.224068	0.534209
